Pixel	Wavelength	
0.0	382.367069489	
1.0	382.596886513	
2.0	382.826702839	
3.0	383.056518467	
4.0	383.286333397	
5.0	383.516147629	
6.0	383.745961163	
7.0	383.975773999	
8.0	384.205586137	
9.0	384.435397577	
10.0	384.665208319	
11.0	384.895018364	
12.0	385.12482771	
13.0	385.354636358	
14.0	385.584444308	
15.0	385.814251561	
16.0	386.044058115	
17.0	386.273863971	
18.0	386.503669129	
19.0	386.73347359	
20.0	386.963277352	
21.0	387.193080417	
22.0	387.422882783	
23.0	387.652684451	
24.0	387.882485422	
25.0	388.112285694	
26.0	388.342085269	
27.0	388.571884145	
28.0	388.801682324	
29.0	389.031479804	
30.0	389.261276587	
31.0	389.491072672	
32.0	389.720868058	
33.0	389.950662747	
34.0	390.180456737	
35.0	390.41025003	
36.0	390.640042625	
37.0	390.869834521	
38.0	391.09962572	
39.0	391.329416221	
40.0	391.559206024	
41.0	391.788995129	
42.0	392.018783535	
43.0	392.248571244	
44.0	392.478358255	
45.0	392.708144568	
46.0	392.937930183	
47.0	393.1677151	
48.0	393.397499319	
49.0	393.62728284	
50.0	393.857065663	
51.0	394.086847787	
52.0	394.316629215	
53.0	394.546409944	
54.0	394.776189975	
55.0	395.005969308	
56.0	395.235747943	
57.0	395.46552588	
58.0	395.695303119	
59.0	395.92507966	
60.0	396.154855503	
61.0	396.384630648	
62.0	396.614405096	
63.0	396.844178845	
64.0	397.073951896	
65.0	397.303724249	
66.0	397.533495905	
67.0	397.763266862	
68.0	397.993037121	
69.0	398.222806683	
70.0	398.452575546	
71.0	398.682343711	
72.0	398.912111179	
73.0	399.141877948	
74.0	399.37164402	
75.0	399.601409393	
76.0	399.831174069	
77.0	400.060938046	
78.0	400.290701326	
79.0	400.520463907	
80.0	400.750225791	
81.0	400.979986976	
82.0	401.209747464	
83.0	401.439507254	
84.0	401.669266345	
85.0	401.899024739	
86.0	402.128782435	
87.0	402.358539432	
88.0	402.588295732	
89.0	402.818051334	
90.0	403.047806237	
91.0	403.277560443	
92.0	403.507313951	
93.0	403.737066761	
94.0	403.966818873	
95.0	404.196570287	
96.0	404.426321002	
97.0	404.65607102	
98.0	404.88582034	
99.0	405.115568962	
100.0	405.345316886	
101.0	405.575064112	
102.0	405.80481064	
103.0	406.03455647	
104.0	406.264301602	
105.0	406.494046036	
106.0	406.723789772	
107.0	406.95353281	
108.0	407.183275151	
109.0	407.413016793	
110.0	407.642757737	
111.0	407.872497983	
112.0	408.102237531	
113.0	408.331976381	
114.0	408.561714534	
115.0	408.791451988	
116.0	409.021188744	
117.0	409.250924803	
118.0	409.480660163	
119.0	409.710394825	
120.0	409.94012879	
121.0	410.169862056	
122.0	410.399594624	
123.0	410.629326495	
124.0	410.859057667	
125.0	411.088788142	
126.0	411.318517918	
127.0	411.548246997	
128.0	411.777975377	
129.0	412.00770306	
130.0	412.237430044	
131.0	412.467156331	
132.0	412.696881919	
133.0	412.92660681	
134.0	413.156331003	
135.0	413.386054497	
136.0	413.615777294	
137.0	413.845499393	
138.0	414.075220793	
139.0	414.304941496	
140.0	414.534661501	
141.0	414.764380808	
142.0	414.994099416	
143.0	415.223817327	
144.0	415.45353454	
145.0	415.683251055	
146.0	415.912966872	
147.0	416.142681991	
148.0	416.372396412	
149.0	416.602110135	
150.0	416.831823159	
151.0	417.061535486	
152.0	417.291247115	
153.0	417.520958046	
154.0	417.750668279	
155.0	417.980377815	
156.0	418.210086652	
157.0	418.439794791	
158.0	418.669502232	
159.0	418.899208975	
160.0	419.12891502	
161.0	419.358620367	
162.0	419.588325016	
163.0	419.818028968	
164.0	420.047732221	
165.0	420.277434776	
166.0	420.507136633	
167.0	420.736837793	
168.0	420.966538254	
169.0	421.196238017	
170.0	421.425937083	
171.0	421.65563545	
172.0	421.885333119	
173.0	422.115030091	
174.0	422.344726364	
175.0	422.57442194	
176.0	422.804116817	
177.0	423.033810997	
178.0	423.263504478	
179.0	423.493197262	
180.0	423.722889347	
181.0	423.952580735	
182.0	424.182271424	
183.0	424.411961416	
184.0	424.64165071	
185.0	424.871339305	
186.0	425.101027203	
187.0	425.330714403	
188.0	425.560400904	
