Pixel	Original Data	fitted Data	
0.0	5942.42	0.0	
1.0	6101.03	0.0	
2.0	6298.03	0.0	
3.0	6366.9	0.0	
4.0	6462.99	0.0	
5.0	6487.42	1.10718993162e-315	
6.0	6334.41	1.17756840275e-309	
7.0	6448.19	1.09750738401e-303	
8.0	6629.25	8.96302886125e-298	
9.0	6584.8	6.41398848501e-292	
10.0	6716.43	4.02186597437e-286	
11.0	6852.49	2.2098004061e-280	
12.0	6746.39	1.06390914304e-274	
13.0	6947.4	4.4883019907e-269	
14.0	6866.79	1.65914994287e-263	
15.0	6944.14	5.37421751e-258	
16.0	6993.74	1.52535482372e-252	
17.0	7063.72	3.79360891299e-247	
18.0	6910.63	8.26723477933e-242	
19.0	7164.86	1.57867969277e-236	
20.0	7156.56	2.64151943747e-231	
21.0	7121.91	3.87292989763e-226	
22.0	7261.99	4.97566919047e-221	
23.0	7356.88	5.60130727494e-216	
24.0	7282.89	5.52526782207e-211	
25.0	7319.63	4.77576894845e-206	
26.0	7357.39	3.61709002435e-201	
27.0	7377.95	2.4004980931e-196	
28.0	7407.16	1.39594867157e-191	
29.0	7689.69	7.11317627409e-187	
30.0	7571.6	3.17602366478e-182	
31.0	7489.48	1.24259592557e-177	
32.0	7717.75	4.25992700858e-173	
33.0	7846.18	1.27967718568e-168	
34.0	7949.6	3.36840833956e-164	
35.0	8128.6	7.76917810402e-160	
36.0	8084.25	1.57018729193e-155	
37.0	8030.96	2.78069832828e-151	
38.0	8068.74	4.31501520556e-147	
39.0	8011.74	5.86728010679e-143	
40.0	7876.75	6.99064665101e-139	
41.0	8076.07	7.29833706023e-135	
42.0	7948.55	6.676617852e-131	
43.0	8001.85	5.35198834634e-127	
44.0	8136.35	3.75923811972e-123	
45.0	8169.73	2.31371866303e-119	
46.0	8039.06	1.24780666366e-115	
47.0	8197.12	5.89671432731e-112	
48.0	8190.73	2.44173716376e-108	
49.0	8297.85	8.85959307909e-105	
50.0	8205.97	2.81679132232e-101	
51.0	8348.39	7.84732446926e-98	
52.0	8370.1	1.91564302674e-94	
53.0	8296.52	4.09763804162e-91	
54.0	8361.96	7.68030805932e-88	
55.0	8363.12	1.26139098868e-84	
56.0	8394.2	1.81529346891e-81	
57.0	8364.84	2.28912760809e-78	
58.0	8410.63	2.52940980847e-75	
59.0	8438.67	2.44903183432e-72	
60.0	8526.32	2.07776152325e-69	
61.0	8546.24	1.54462480817e-66	
62.0	8570.69	1.00618154855e-63	
63.0	8602.91	5.7432236557e-61	
64.0	8622.64	2.87250733518e-58	
65.0	8672.16	1.25890396278e-55	
66.0	8747.42	4.83448360642e-53	
67.0	8663.42	1.6267979645e-50	
68.0	8731.93	4.7967070389e-48	
69.0	8758.39	1.23930797651e-45	
70.0	8741.05	2.80581707059e-43	
71.0	8615.32	5.57403100162e-41	
72.0	8699.12	1.00717755595e-38	
73.0	8771.45	2.84859394581e-36	
74.0	8849.33	3.61411749058e-33	
75.0	8984.64	6.11803292813e-30	
76.0	8899.63	7.80286298692e-27	
77.0	8786.31	7.16398115306e-24	
78.0	8876.42	4.72100034783e-21	
79.0	8927.76	2.23252169179e-18	
80.0	8688.8	7.57583547211e-16	
81.0	8980.92	1.84475034817e-13	
82.0	8910.69	3.22341898605e-11	
83.0	8847.41	4.04173644229e-09	
84.0	9032.44	3.63656445147e-07	
85.0	9066.24	2.34793816609e-05	
86.0	9171.01	0.00108781261037	
87.0	9398.77	0.0361654263967	
88.0	9427.41	0.862790109379	
89.0	9765.14	14.7702822052	
90.0	10326.7	181.444787148	
91.0	11311.0	1599.45588136	
92.0	16586.7	10117.4741185	
93.0	56478.6	45924.4545011	
94.0	166203.0	149584.976862	
95.0	356057.0	349626.241171	
96.0	575852.0	586397.548782	
97.0	678857.0	705752.505618	
98.0	646944.0	609516.421203	
99.0	389821.0	377742.447358	
100.0	131019.0	168008.955592	
101.0	29146.3	53704.0402702	
102.0	12627.7	12599.0711564	
103.0	10971.3	2953.97103391	
104.0	10617.2	2613.74374802	
105.0	10773.5	5299.72595373	
106.0	11197.1	10281.3872635	
107.0	14076.6	17539.8723283	
108.0	21035.5	26222.6261523	
109.0	32476.4	34352.0959003	
110.0	42526.7	39432.6858862	
111.0	44167.0	39662.9960323	
112.0	38283.2	34957.5277254	
113.0	21977.3	26997.4000537	
114.0	12121.1	18269.6072138	
115.0	9412.55	10833.3435467	
